Company Name,Industry,Symbol,Series,ISIN Code,Industry_encoded
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,9
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021,2
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,0
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,1
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,5
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,11
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,11
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,1
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,2
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,11
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,8
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,6
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,9
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,2
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,1
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,6
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,9
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,0
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,9
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,9
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,9
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,2
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,0
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,8
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,9
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,9
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,9
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,9
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,5
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,2
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,5
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,1
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,1
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,0
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,1
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,15
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,19
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,19
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,8
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,11
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,4
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,12
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,18
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,5
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,8
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,0
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,17
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,8
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,12
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,8
CESC Ltd.,Power,CESC,EQ,INE486A01021,16
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,1
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,0
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,9
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,5
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,9
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,9
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,11
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,9
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,1
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,15
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,0
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024,5
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,9
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,9
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,5
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,5
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,6
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,2
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,2
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016,15
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,9
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,9
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,11
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,9
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,2
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,15
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,1
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,12
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,8
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,9
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,11
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,18
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,2
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,0
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,9
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,5
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,1
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,12
DLF Ltd.,Realty,DLF,EQ,INE271C01023,17
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,8
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,8
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,4
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,1
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,2
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,2
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,18
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,6
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,11
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,5
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,11
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,11
Dummy ITC Ltd.,Consumer Services,DUMMYITC,EQ,DUM154A01025,6
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031,2
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,6
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026,6
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,0
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,1
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,1
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,8
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,11
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,0
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,3
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018,9
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,11
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,1
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,0
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,6
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,9
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,2
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026,2
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,1
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,1
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,18
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,9
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,11
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022,3
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,15
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,1
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,18
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,1
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,9
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,8
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,11
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,11
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,11
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,11
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,9
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,1
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,8
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,8
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,8
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,7
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,17
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,11
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,1
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,4
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,18
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023,1
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030,8
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,2
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,15
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,14
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,2
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,18
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025,2
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,15
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,1
HBL Engineering Ltd.,Automobile and Auto Components,HBLENGINE,EQ,INE292B01021,0
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,12
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,9
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,9
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,9
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,19
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,12
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,5
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,0
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,2
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,14
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,1
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,14
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,15
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,8
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,14
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,1
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,9
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,8
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,1
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,9
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,9
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,9
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,9
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,9
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,9
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,9
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,9
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,9
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034,1
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,3
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,3
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,8
